"","member","word","freq"
"1","Abbott, Diane","infrastructure",1.28037405195129
"2","Abbott, Diane","london",1.25658501707319
"3","Abbott, Diane","squeezed",0.733242111488553
"4","Abbott, Diane","investment",0.629731329721605
"5","Abbott, Diane","adequacy",0.589711124530288
"6","Abbott, Diane","jobs",0.525232154212414
"7","Abbott, Diane","crime",0.482393720340513
"8","Abbott, Diane","33646",0.445526279679245
"9","Abbott, Diane","address",0.441696968670241
"10","Abbott, Diane","projects",0.422486136232133
"11","Abbott, Diane","territories",0.415837049313982
"12","Abbott, Diane","dependencies",0.414015231943709
"13","Abrahams, Debbie","waiting",1.71025778353581
"14","Abrahams, Debbie","callers",1.60366025739287
"15","Abrahams, Debbie","helpline",1.42356989480454
"16","Abrahams, Debbie","time",1.40540917344097
"17","Abrahams, Debbie","self",1.35386035898046
"18","Abrahams, Debbie","universal",1.05371967045289
"19","Abrahams, Debbie","hm",0.950465373728806
"20","Abrahams, Debbie","customs",0.923060797106097
"21","Abrahams, Debbie","revenue",0.891794005920623
"22","Abrahams, Debbie","abandoned",0.858123304369207
"23","Abrahams, Debbie","inequalities",0.731813106268039
"24","Abrahams, Debbie","introduction",0.640529739238352
"25","Adams, Nigel","festivals",0.906125248389214
"26","Adams, Nigel","farm",0.76105236378623
"27","Adams, Nigel","agricultural",0.688852489529337
"28","Adams, Nigel","valuation",0.557658204529542
"29","Adams, Nigel","land",0.548216855458126
"30","Adams, Nigel","contactless",0.543887789250322
"31","Adams, Nigel","gambling",0.487528408147998
"32","Adams, Nigel","restructuring",0.447877223848612
"33","Adams, Nigel","game",0.441998766617508
"34","Adams, Nigel","385",0.441997683533435
"35","Adams, Nigel","became",0.429022979096915
"36","Adams, Nigel","rbs",0.425883386969976
"37","Afolami, Bim","rate",0.644816857535551
"38","Afolami, Bim","business",0.598535681050431
"39","Afolami, Bim","system",0.590772205475243
"40","Afolami, Bim","review",0.529734263776937
"41","Afolami, Bim","total",0.485512322751588
"42","Afolami, Bim","45",0.452032848129166
"43","Afolami, Bim","forgone",0.449167567067426
"44","Afolami, Bim","top",0.389301037732415
"45","Afolami, Bim","comply",0.368875361878988
"46","Afolami, Bim","50",0.368380068526686
"47","Afolami, Bim","freezes",0.357812676228838
"48","Afolami, Bim","sum",0.356331745951132
"49","Afriyie, Adam","encourage",1.71198000750429
"50","Afriyie, Adam","simplification",1.5089706048437
"51","Afriyie, Adam","technology",1.3154169305149
"52","Afriyie, Adam","fintech",1.24689638394839
"53","Afriyie, Adam","uk",1.23942105689778
"54","Afriyie, Adam","entrepreneurs",1.10546056417317
"55","Afriyie, Adam","investment",1.0835522032529
"56","Afriyie, Adam","office",1.01123055639574
"57","Afriyie, Adam","budget",1.00600768078063
"58","Afriyie, Adam","contributed",0.935041411386548
"59","Afriyie, Adam","tax",0.922853703248144
"60","Afriyie, Adam","switch",0.887294281973909
"61","Ahmed-Sheikh, Tasmina","maladministration",2.76416142460259
"62","Ahmed-Sheikh, Tasmina","credit",2.74610598227153
"63","Ahmed-Sheikh, Tasmina","tax",2.01288656252339
"64","Ahmed-Sheikh, Tasmina","three",1.95798078694843
"65","Ahmed-Sheikh, Tasmina","quarterly",1.85865481829805
"66","Ahmed-Sheikh, Tasmina","concentrix",1.71473569924025
"67","Ahmed-Sheikh, Tasmina","returns",1.62138372742753
"68","Ahmed-Sheikh, Tasmina","months",1.56021234709741
"69","Ahmed-Sheikh, Tasmina","relating",1.51044269090891
"70","Ahmed-Sheikh, Tasmina","payment",1.49901356873712
"71","Ahmed-Sheikh, Tasmina","cases",1.46661127068024
