"","topic","word","freq"
"1",1,"value",3.54559925795905
"2",1,"added",2.18585820394154
"3",1,"payslips",1.40087106039359
"4",1,"include",1.38922113037001
"5",1,"contract",1.14052114770045
"6",1,"total",1.07365006852622
"7",1,"private",1.04994063321716
"8",1,"sector",0.856055757354071
"9",1,"tax",0.773589266070677
"10",1,"year",0.690762773560262
"11",1,"gross",0.669941740412177
"12",1,"income",0.650072236711177
"13",2,"compensation",3.36946108602018
"14",2,"service",1.93791490706409
"15",2,"award",1.60890565974831
"16",2,"financial",1.58748440420983
"17",2,"ombudsman",1.56818446455319
"18",2,"scheme",1.278824289174
"19",2,"business",1.110001096011
"20",2,"intervention",1.02438942509439
"21",2,"fair",1.01764701785734
"22",2,"consumers",0.989386605201223
"23",2,"000",0.958501919847289
"24",2,"2001",0.811644087681949
"25",3,"couple",6.56454762631399
"26",3,"marriage",6.01632654361952
"27",3,"allowance",4.121423467846
"28",3,"marriage",1.70651316869225
"29",3,"2001",1.10933679490468
"30",3,"year",1.02598359226253
"31",3,"spent",0.999476040768626
"32",3,"introduction",0.706021303229706
"33",3,"earner",0.685256678807011
"34",3,"claim",0.669544469479583
"35",3,"allocated",0.663689671088721
"36",3,"17",0.65694968162714
"37",4,"session",1.45238790782106
"38",4,"parliamentary",1.35826804759676
"39",4,"written",1.04052552516035
"40",4,"answer",0.828626936440429
"41",4,"collated",0.815681913824166
"42",4,"13",0.581876082200716
"43",4,"proportion",0.566689172315194
"44",4,"2014",0.562165710540311
"45",4,"2012",0.546396658478011
"46",4,"prorogation",0.542195850076775
"47",4,"14",0.512075003407616
"48",4,"prescribed",0.504843652720457
"49",5,"exceptional",1.27203686192823
"50",5,"limit",0.591106236874005
"51",5,"circumstances",0.540478278881949
"52",5,"child",0.510701045627857
"53",5,"103",0.455195307105365
"54",5,"two",0.378695975093738
"55",5,"disp",0.371977332397682
"56",5,"data",0.356683740494015
"57",5,"credit",0.356230099067487
"58",5,"handbook",0.316011001019035
"59",5,"covered",0.298521888923263
"60",5,"reference",0.274506496392179
"61",6,"closure",10.9884448426736
"62",6,"branch",8.02124187045005
"63",6,"bank",4.16044155000172
"64",6,"local",2.9528343675267
"65",6,"scotland",2.78527174907373
"66",6,"royal",2.70962367880582
"67",6,"office",2.28271557367748
"68",6,"lloyds",2.25203757004605
"69",6,"recently",2.05546427895404
"70",6,"ruby",1.71051554345053
"71",6,"communities",1.63219047964679
"72",6,"customers",1.51412648900457
"73",7,"stakeholder",2.39585130236337
"74",7,"bank",0.854587863177911
"75",7,"growth",0.825901651385293
"76",7,"proposals",0.803873261502608
"77",7,"encourage",0.747085349510352
"78",7,"principle",0.659431341252051
"79",7,"subsidiarity",0.527329600530398
"80",7,"consider",0.472583750915535
"81",7,"transactions",0.468590203921263
"82",7,"role",0.468356732532678
"83",7,"securities",0.425479913541029
"84",7,"rules",0.422729892426918
"85",8,"population",1.18664648153674
"86",8,"closure",0.620394312775326
"87",8,"communities",0.581722640688566
"88",8,"density",0.527972026729071
"89",8,"601w",0.447515590917382
"90",8,"elderly",0.402067811990503
"91",8,"remaining",0.379531325231134
"92",8,"600",0.369346096143539
"93",8,"bank",0.367912527894159
"94",8,"prevent",0.36734547542265
"95",8,"high",0.340224300092204
"96",8,"lower",0.302672608598004
"97",9,"retail",4.08858536532683
"98",9,"sector",0.925060040482957
"99",9,"secure",0.842759172414829
"100",9,"filling",0.830397953591559
"101",9,"petrol",0.818946443851521
"102",9,"overcharged",0.755958090806809
"103",9,"trade",0.750060239399433
"104",9,"stations",0.694460089176247
"105",9,"working",0.670323150317542
"106",9,"online",0.665929575248593
"107",9,"approved",0.641928888699991
"108",9,"excise",0.621281095410084
"109",10,"mobile",3.409854122566
"110",10,"social",0.894432303009499
"111",10,"spectrum",0.737167406602074
"112",10,"users",0.633644685113158
"113",10,"seven",0.576305567191473
"114",10,"blackberry",0.542465979139879
"115",10,"laptops",0.542465979139879
"116",10,"remote",0.519085355840261
"117",10,"use",0.424769610425001
"118",10,"unused",0.41385795724075
"119",10,"2014",0.411763492466298
"120",10,"measures",0.397268607047482
"121",11,"interest",7.53786579334951
"122",11,"rate",3.84059051653975
"123",11,"swap",3.28584518392221
"124",11,"redress",3.14516729643379
"125",11,"hedging",2.05636902756862
"126",11,"conduct",1.95606931595255
"127",11,"mortgage",1.90466315395573
"128",11,"authority",1.82667517473523
"129",11,"scheme",1.45434449388824
"130",11,"financial",1.3881597867065
"131",11,"misselling",1.36489810970217
"132",11,"rise",1.35492544561765
"133",12,"help",13.0125423800232
"134",12,"buy",9.80946204433572
"135",12,"scheme",3.8344724825004
"136",12,"mortgage",3.09104436315973
"137",12,"isa",2.88871082626011
"138",12,"fiscal",2.66844379071652
"139",12,"guarantee",2.51147527237663
"140",12,"keep",2.34191981659433
"141",12,"people",1.98916896408794
"142",12,"house",1.75283972871305
"143",12,"earnings",1.73083042136643
"144",12,"cost",1.55392829072099
"145",13,"eu",1.98254699179946
"146",13,"structural",1.83001925689822
"147",13,"universities",1.80137168816682
"148",13,"uk",1.44422920386394
"149",13,"contribution",1.34078480377532
"150",13,"leaves",1.32105290179345
"151",13,"attributable",1.24221183101586
"152",13,"value",1.0780793850524
"153",13,"fund",0.911656512176269
"154",13,"gap",0.803652685952115
"155",13,"agricultural",0.652816647363391
"156",13,"will",0.618698175684207
"157",14,"network",3.12130127189103
"158",14,"heat",0.82256174301676
"159",14,"atm",0.764537183685539
"160",14,"maintain",0.702086307338745
"161",14,"interchange",0.612679990437629
"162",14,"poorer",0.546034737617075
"163",14,"link",0.499127258944278
"164",14,"banks",0.496111774401398
"165",14,"business",0.478941026090388
"166",14,"proposal",0.470825182297653
"167",14,"branches",0.449674021482119
"168",14,"fee",0.436458116920761
"169",15,"medium",16.403136033039
"170",15,"size",15.887319576905
"171",15,"small",13.3177360585745
"172",15,"enterprise",8.34277693267303
"173",15,"lend",4.62433273061373
"174",15,"business",4.39195380890785
"175",15,"bank",3.01722449303387
"176",15,"platforms",2.07126455237143
"177",15,"peer",1.70529327315756
"178",15,"loan",1.62148856295751
"179",15,"finance",1.61646718188706
"180",15,"brewer",1.48646893705477
"181",16,"table",6.2062729568529
"182",16,"line",5.82113097435199
"183",16,"autumn",4.08682176119509
"184",16,"reference",3.947112710781
"185",16,"2017",3.91492658967458
"186",16,"budget",3.86148336631261
"187",16,"baseline",3.61707351545934
"188",16,"measure",3.31972796031872
"189",16,"contained",3.01822981837499
"190",16,"2016",2.97377492863037
"191",16,"18",2.46938019498436
"192",16,"projected",2.23071705734701
"193",17,"basic",7.01749154606643
"194",17,"rate",2.55350656961544
"195",17,"higher",2.29306068354343
"196",17,"top",1.73960637682998
"197",17,"income",1.68807960418076
"198",17,"constituency",1.4923406940182
"199",17,"paid",1.44193014448298
"200",17,"taxpayers",1.18647707556427
"201",17,"accounts",1.12857632514393
"202",17,"people",1.05935797781692
"203",17,"five",1.01788289191059
"204",17,"tax",1.01235769129617
"205",18,"states",5.72025391901655
"206",18,"member",4.10313427705205
"207",18,"eu",3.04572704463217
"208",18,"uk",1.68361007650865
"209",18,"citizens",1.35074863666358
"210",18,"information",1.0647123002604
"211",18,"holds",1.01497997262906
"212",18,"leaves",1.00417793233049
"213",18,"receive",0.932527747803795
"214",18,"event",0.874584847380241
"215",18,"live",0.868250339965067
"216",18,"eurozone",0.850404352235948
"217",19,"freeze",6.94162422278927
"218",19,"benefit",2.04583802654978
"219",19,"child",1.95579187361568
"220",19,"alcohol",1.83343918360274
"221",19,"credit",1.69750519991888
"222",19,"duties",1.66822135618896
"223",19,"waiver",1.66252896672164
"224",19,"autumn",1.21521137915286
"225",19,"budget",1.20082740116275
"226",19,"2017",1.14812777416425
"227",19,"noninsurance",1.07184789734075
"228",19,"made",1.01136382861463
"229",20,"passporting",2.12027400156663
"230",20,"tariff",1.36393854708319
"231",20,"eu",1.33495569050561
"232",20,"retain",0.980306690723234
"233",20,"uk",0.971948988396668
"234",20,"rights",0.953782338875145
"235",20,"external",0.951070988953535
"236",20,"leaves",0.792953066778237
"237",20,"common",0.765958518893779
"238",20,"olaf",0.746363333842841
"239",20,"commercial",0.68910218380705
"240",20,"advocate",0.60578046763856
"241",21,"30",4.04006024207177
"242",21,"hours",3.57102808613005
"243",21,"childcare",2.44652997874538
"244",21,"free",2.40928151782744
"245",21,"trivial",1.62274595487831
"246",21,"code",1.59780879404562
"247",21,"eligibility",1.53926518185404
"248",21,"commutation",1.53868908688772
"249",21,"technical",0.988937385609615
"250",21,"parents",0.974906352534762
"251",21,"access",0.951683376348808
"252",21,"due",0.921696567262437
"253",22,"rural",4.2034071226741
"254",22,"communities",1.78535578003438
"255",22,"areas",1.16598309368309
"256",22,"atm",1.04251522306865
"257",22,"fuel",0.824509773858366
"258",22,"digital",0.757852782493814
"259",22,"bank",0.651359029324069
"260",22,"access",0.630475096048443
"261",22,"economies",0.616870862769923
"262",22,"local",0.607193147049323
"263",22,"proofing",0.591728758247116
"264",22,"discount",0.579997446712402
"265",23,"bankers",1.76336542622575
"266",23,"bonus",0.868473387647612
"267",23,"yield",0.471645489189279
"268",23,"colluded",0.434966609052244
"269",23,"oversaw",0.434966609052244
"270",23,"retained",0.411700834889315
"271",23,"collusion",0.402244876757494
"272",23,"perpetrating",0.402244876757494
"273",23,"euros",0.401156616513913
"274",23,"introduction",0.353785875429
"275",23,"estimate",0.337786461743518
"276",23,"guidance",0.311124937961373
"277",24,"direct",3.38221959261528
"278",24,"debit",1.58497397066461
"279",24,"assist",0.83826104767011
"280",24,"vehicle",0.82395520159274
"281",24,"instalments",0.790866384048221
"282",24,"work",0.739237195389618
"283",24,"contact",0.724677336232714
"284",24,"related",0.717464399300427
"285",24,"cost",0.691896641142787
"286",24,"surcharge",0.651211457338352
"287",24,"monthly",0.558273064289237
"288",24,"response",0.54986582171295
"289",25,"evidence",0.951153824079766
"290",25,"december",0.828729723607345
"291",25,"disabilityed",0.678132118975164
"292",25,"committee",0.674748608010174
"293",25,"treasury",0.550304558560604
"294",25,"workforce",0.543542403841034
"295",25,"2017",0.541424506296435
"296",25,"overall",0.526978609812374
"297",25,"oral",0.480128617405992
"298",25,"participation",0.479002122702636
"299",25,"productivity",0.470212488525367
